subcategoria,id,categoria
conciertos festivales,281,Arte y cultura
conciertos festivales,281,Vida nocturna
conciertos festivales,219,Arte y cultura
conciertos festivales,219,Vida nocturna
conciertos festivales,322,Arte y cultura
conciertos festivales,322,Vida nocturna
conciertos festivales,36,Arte y cultura
conciertos festivales,36,Vida nocturna
conciertos festivales,303,Arte y cultura
conciertos festivales,303,Vida nocturna
conciertos festivales,132,Arte y cultura
conciertos festivales,132,Vida nocturna
conciertos festivales,204,Arte y cultura
conciertos festivales,204,Vida nocturna
conciertos festivales,292,Arte y cultura
conciertos festivales,292,Vida nocturna
conciertos festivales,230,Arte y cultura
conciertos festivales,230,Vida nocturna
conciertos festivales,259,Arte y cultura
conciertos festivales,259,Vida nocturna
conciertos festivales,15,Arte y cultura
conciertos festivales,15,Vida nocturna
conciertos festivales,331,Arte y cultura
conciertos festivales,331,Vida nocturna
conciertos festivales,307,Arte y cultura
conciertos festivales,307,Vida nocturna
conciertos festivales,319,Arte y cultura
conciertos festivales,319,Vida nocturna
conciertos festivales,333,Arte y cultura
conciertos festivales,333,Vida nocturna
conciertos festivales,335,Arte y cultura
conciertos festivales,335,Vida nocturna
conciertos festivales,338,Arte y cultura
conciertos festivales,338,Vida nocturna
conciertos festivales,323,Arte y cultura
conciertos festivales,323,Vida nocturna
conciertos festivales,257,Arte y cultura
conciertos festivales,257,Vida nocturna
conciertos festivales,26,Arte y cultura
conciertos festivales,26,Vida nocturna
conciertos festivales,10,Arte y cultura
conciertos festivales,10,Vida nocturna
conciertos festivales,157,Arte y cultura
conciertos festivales,157,Vida nocturna
conciertos festivales,254,Arte y cultura
conciertos festivales,254,Vida nocturna
conciertos festivales,256,Arte y cultura
conciertos festivales,256,Vida nocturna
conciertos festivales,253,Arte y cultura
conciertos festivales,253,Vida nocturna
conciertos festivales,255,Arte y cultura
conciertos festivales,255,Vida nocturna
conciertos festivales,258,Arte y cultura
conciertos festivales,258,Vida nocturna
conciertos festivales,114,Arte y cultura
conciertos festivales,114,Vida nocturna
conciertos festivales,324,Arte y cultura
conciertos festivales,324,Vida nocturna
