categoria,nombre,url,precio,fecha,rating
conciertos-festivales,Candlelight Orquesta: lo mejor de Joe Hisaishi,https://feverup.com/m/127269,"Desde
15,00 €",20 abr,
conciertos-festivales,Candlelight Summer 2023 - Lista de espera,https://feverup.com/m/121393,,,
conciertos-festivales,Rockin'1000: Una banda de mil músicos en directo,https://feverup.com/m/125023,"Desde
39,50 €",03 jun,
conciertos-festivales,Candlelight: Requiem de Mozart en San Antonio de los Alemanes,https://feverup.com/m/128037,"Desde
15,00 €",07 may,
conciertos-festivales,CaixaBank Madrid Live Experience 2023 - Lista de espera,https://feverup.com/m/121682,,,
conciertos-festivales,Candlelight: Tributo a Queen a Cuatro Manos en el Círculo de Bellas Artes,https://feverup.com/m/109194,"Desde
15,00 €",15 abr - 07 may,4.6
conciertos-festivales,Vagues y Maleantes volumen 2 en Bala Perdida Club,https://feverup.com/m/127871,"10,00 €",23 abr,
conciertos-festivales,Just Qawali: World Tour 2023 con Ustad Rahat Fateh Ali Khan - Lista de espera,https://feverup.com/m/125707,,,
conciertos-festivales,Les Luthiers: Más tropiezos de Mastropiero en Príncipe Pío,https://feverup.com/m/119120,"Desde
40,00 €",31 may - 25 jun,
conciertos-festivales,Candlelight: Tributo a Ludovico Einaudi en el Four Seasons Hotel Madrid,https://feverup.com/m/124096,"Desde
15,00 €",14 may,4.7
conciertos-festivales,Candlelight: Tributo a Hans Zimmer en Domo 360,https://feverup.com/m/127579,"Desde
15,00 €",22 abr - 06 may,
conciertos-festivales,Candlelight Premium: Tributo a Coldplay en el Hotel Palace de Madrid,https://feverup.com/m/125706,"Desde
15,00 €",30 abr,4.6
conciertos-festivales,Los Paseos Musicales del Real Jardín Botánico - Lista de espera,https://feverup.com/m/128335,,,
conciertos-festivales,Candlelight: Tributo a Joan Manuel Serrat en el Hotel Wellington,https://feverup.com/m/126730,"Desde
15,00 €",23 abr - 07 may,
conciertos-festivales,WAH Madrid: el show más espectacular del mundo,https://feverup.com/m/102589,"Desde
35,00 €",14 abr - 18 jun,4.6
conciertos-festivales,Village People en concierto en Sala La Riviera,https://feverup.com/m/128201,"Desde
50,00 €",01 jun,
conciertos-festivales,Concierto de Cris Mj en Kumarah Club,https://feverup.com/m/127879,"Desde
15,00 €",22 abr,
conciertos-festivales,Cine mudo con música en directo: Siete Ocasiones,https://feverup.com/m/128032,"Desde
8,00 €",23 abr,
conciertos-festivales,Radio Fórmula: los éxitos de ayer y de hoy en concierto,https://feverup.com/m/128338,"10,00 €",21 abr - 26 may,
conciertos-festivales,Euroshow: El show más eurovisivo en Black & White,https://feverup.com/m/128427,"10,00 €",22 abr - 27 may,
conciertos-festivales,3 Monólogos + Jam Música en directo: Coolturetas Comedy,https://feverup.com/m/128433,"6,00 €",27 abr,
conciertos-festivales,Candlelight: Las Cuatro Estaciones de Vivaldi en San Antonio de los Alemanes,https://feverup.com/m/128038,"Desde
15,00 €",07 may,
conciertos-festivales,Universal Music Festival 2023: Lola Índigo,https://feverup.com/m/126709,"Desde
45,00 €",30 jul,
conciertos-festivales,Mediterráneo Sound Segunda Edición - Lista de espera,https://feverup.com/m/115102,,,
conciertos-festivales,Tarjeta Regalo WAH Madrid: el show más espectacular del mundo,https://feverup.com/m/105887,"Desde
54,00 €",,
conciertos-festivales,Candlelight Jazz x Symphony Candles: Tributo a Nina Simone y más leyendas del Jazz,https://feverup.com/m/102135,"Desde
15,00 €",07 may,4.7
conciertos-festivales,Charlie Cunningham en concierto en Teatro Eslava,https://feverup.com/m/121885,"25,00 €",14 may,
conciertos-festivales,Universal Music Festival 2023: Kraftwerk,https://feverup.com/m/126698,"Desde
85,00 €",27 jul,
conciertos-festivales,Universal Music Festival 2023: Israel Fernández,https://feverup.com/m/126708,"Desde
30,00 €",26 jul,
conciertos-festivales,Universal Music Festival 2023: Rufus Wainwright,https://feverup.com/m/126659,"Desde
60,00 €",25 jul,
conciertos-festivales,Universal Music Festival 2023: Gloria Trevi,https://feverup.com/m/126699,"Desde
50,00 €",28 jul,
conciertos-festivales,Universal Music Festival 2023: Gilberto Gil,https://feverup.com/m/126713,"Desde
45,00 €",29 jul,
conciertos-festivales,Candlelight x Symphony Candles: lo mejor de Luis Miguel,https://feverup.com/m/116252,"Desde
15,00 €",06 may,4.6
