descripcion,sku,imagen,latitud,longitud,lugar
"elight  son los conciertos a la luz de las velas que traen la magia de una experiencia musical a lugares increíbles en Madrid. ¡Consigue tus entradas para Candlelight Orquesta: lo mejor de Joe Hisaishi en The Music Station Principe Pío!   👉 Experiencia apta para su compra con el   Bono Cultural Joven   del Ministerio de Cultura y Deportes. Puedes consultar las preguntas frecuentes al respecto y sus respuestas  aquí  _x000D_
 🪑  Selecciona la zona deseada de tus entradas y continua para elegir tus asientos numerados  _x000D_
  Información  📍 Lugar: The Music Station Principe Pío, (Gran Teatro Caixabank Príncipe Pío, Madrid 📅 Fecha y hora: 20 de abril a las 19:00 y las 21:15 ⏳ Duración: 65 minutos aprox. (apertura de puertas 60 minutos antes, no se podrá acceder tras el inicio) 👤 Edad: a partir de 8 años. Los menores de 18 años deberán acudir acompañados por un adulto ♿ Accesibilidad: recinto habilitado para personas en silla de ruedas. Selecciona la entrada para PMR durante el proceso de compra. Procura comprar tus entradas en el patio de butacas, no hay ascensor para subir a la primera planta. ❓ Puedes consultar las preguntas frecuentes y sus respuestas  aquí  🎻 Consulta todos los  conciertos Candlelight  en Madrid 🕯️ Si deseas reservar un concierto privado, haz clic  aquí  ⚡️ Desplázate en taxi hasta esta experiencia con FREENOW y  un descuento exclusivo del 20%  que podrás disfrutar tanto a la ida como a la vuelta, una vez introduzcas tu destino en la app. Y si eres nuevo usuario, disfruta de un 50% de descuento utilizando el código CANDLE en tu primer viaje en taxi, coche compartido, bici, moto o patinete.*  * Promociones no acumulables.  _x000D_
  Programa Candlelight Orquesta: lo mejor de Joe Hisaishi en The Music Station Príncipe Pío, Madrid  _x000D_
 _x000D_
 Ponyo On The Cliff _x000D_
 A Town With An Ocean View _x000D_
 Tabidachi _x000D_
 Carrying You _x000D_
 Nausicaa Valley Of The Wind _x000D_
 Always With Me _x000D_
 Chihiro's Waltz _x000D_
 One Summer Day _x000D_
 Catbus _x000D_
 Path Of The Wind _x000D_
 Totoro _x000D_
 Memory Departures _x000D_
 Summer _x000D_
 Ashitaka And San _x000D_
 _x000D_
   Intérpretes:  _x000D_
 _x000D_
 Orquesta Camerata Musicalis - Formación de 24 miembros _x000D_
 _x000D_
   Opiniones de los conciertos Candlelight  💬 Monique M. ⭐⭐⭐⭐⭐: ""Una experiencia fenomenal, increíble"""". 💬 Patricia C. ⭐⭐⭐⭐⭐: ""Un espectáculo precioso, vibrante, divertido y revitalizante. Se me ponían los pelos de punta. Lo estoy recomendando a todos los amigos que puedo porque es para verlo"". 💬 Joaquín G. ⭐⭐⭐⭐⭐: ""Precioso espectáculo, increíble en todos los aspectos"". _x000D_
    _x000D_
  ",127269,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/60db32b8-d3ca-11ed-9044-f212311f817b.jpg",40.420915,-3.7188,Gran Teatro CAIXABANK Príncipe Pío
"  ¿Quieres vivir el concierto en directo de la banda de rock más grande que jamás haya existido? ¡Prepárate porque llega Rockin'1000! Un proyecto que reúne a cientos y cientos de cantantes, guitarristas, teclistas, bajistas y más músicos, sobre un único y gran escenario en el centro del Cívitas Metropolitano de Madrid. Una banda formada por mil artistas tocando y cantando en perfecta sintonía los clásicos nacionales e internacionales más grandes del género. Vive un espectáculo de rock épico, que ya ha conquistado las grandes capitales del mundo y que llega a Madrid para hacer historia. ¡Sé testigo de un concierto único en el mundo desde el público! ¡Consigue tus entradas para Rockin’1000 en Madrid!",125023,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/9c443252-a092-11ed-8191-3e45a183dea0.jpg",40.436913,-3.5993815693129,Cívitas Metropolitano
"elight  trae la magia de una experiencia musical en vivo a lugares increíbles en Madrid. ¡Consigue tus entradas para el Candlelight: El Requiem de Mozart en la Iglesia de San Antonio de los Alemanes!   👉 Experiencia apta para su compra con el   Bono Cultural Joven   del Ministerio de Cultura y Deportes. Puedes consultar las preguntas frecuentes al respecto y sus respuestas  aquí  _x000D_
  Información  📍 Lugar: Iglesia de San Antonio de los Alemanes, Madrid 📅 Fecha y hora: 7 de mayo a las 21:00 ⏳ Duración: 60 minutos aprox. (apertura de puertas 60 minutos antes, no se podrá acceder tras el inicio) 👤 Edad: a partir de 8 años. Los menores de 18 años deberán acudir acompañados por un adulto ♿ Accesibilidad: recinto habilitado para personas en silla de ruedas 🪑 Los asientos se asignan a la llegada según el tipo de ticket que hayas comprado ❓ Puedes consultar las preguntas frecuentes y sus respuestas  aquí  🎻 Consulta todos los  conciertos Candlelight  en Madrid 🕯️ Si deseas reservar un concierto privado, haz clic  aquí  _x000D_
  Programa Candlelight: Réquiem de Mozart en Iglesia de San Antonio de los Alemanes, Madrid  _x000D_
 _x000D_
 Ave Verum W.A.Mozart _x000D_
 Requiem W.A. Mozart _x000D_
 _x000D_
   Intérpretes:  _x000D_
 _x000D_
 Cuarteto de cuerda - Matrice _x000D_
 _x000D_
   Opiniones de los conciertos Candlelight  💬 Monique M. ⭐⭐⭐⭐⭐: ""Una experiencia fenomenal, increíble"""". 💬 Patricia C. ⭐⭐⭐⭐⭐: ""Un espectáculo precioso, vibrante, divertido y revitalizante. Se me ponían los pelos de punta. Lo estoy recomendando a todos los amigos que puedo porque es para verlo"". 💬 Joaquín G. ⭐⭐⭐⭐⭐: ""Precioso espectáculo, increíble en todos los aspectos"". _x000D_
    _x000D_
  ",128037,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/c3e25b4c-cfb6-11ed-bd84-fa1112968f17.jpg",40.42235859999999,-3.7038126,Iglesia de San Antonio de los Alemanes
"lelight  trae la magia de una experiencia musical en vivo a lugares increíbles en Madrid. ¡Consigue tus entradas para el Candlelight: Tributo a Queen a Cuatro Manos en el Círculo de Bellas Artes!   👉 Experiencia apta para su compra con el   Bono Cultural Joven   del Ministerio de Cultura y Deportes. Puedes consultar las preguntas frecuentes al respecto y sus respuestas  aquí    Información:  📍 Lugar: Teatro Fernando de Rojas, Círculo de Bellas Artes, Madrid  📅 Fecha y hora: 15 de abril y 7 de mayo a las 19:00 y las 21:00 ⏳ Duración del concierto: 60 minutos aprox. (apertura de puertas 60 minutos antes, no se podrá acceder tras el inicio) 👤 Edad: a partir de 8 años. Los menores de 16 años deberán acudir acompañados por un adulto ♿ Accesibilidad: recinto habilitado para personas en silla de ruedas, únicamente las zonas A y B ❓ Puedes consultar las preguntas frecuentes y sus respuestas  aquí   ⚡  ¡Desplázate hasta este concierto en BOLT!  Una forma cómoda, fácil y flexible de llegar a cualquier plan ahora con  un 50% de descuento  en tus primeros 5 viajes. Porque el viaje también forma parte de la experiencia.   Programa Candlelight: Tributo a Queen a Cuatro Manos    Bohemian Rhapsody  Somebody to Love  We Will Rock You  We are the Champions  I was Born to Love you  Love of my life  Don’t Stop me now  The Show Must go On  Under Pressure     Intérprete:    Piano - Esther Toledano y Alicia Prieto         ",109194,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/8af06438-77b3-11ed-a2f7-e6dd87555bf6.jpg",40.418731,-3.696349,Círculo de Bellas Artes - Teatro Fernando de Rojas
"  Mario Marcol y Nacañadí presentan Vagues y Maleantes, una serie de conciertos periódicos y temáticos de proyectos musicales LGTBIQ+ que hacen música original y que visibilizan sus identidades y orientaciones a través de su música. Vente a malear, ondear la linterna de tu teléfono y soltar alguna lagrimilla de la mano de Vinaixa, Isla Lavanda, Saint Torrente y Nacañadí, del anfitrión Mario Marcol y de algunas sorpresas más. ¡No te lo pierdas! ¡Consigue tus entradas para Vagues y Maleantes volumen 2 en Bala Perdida Club, Madrid!",127871,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/fa444826-ce08-11ed-b871-1278dfea2547.png",40.413367,-3.700664,Bala Perdida Club (Hotel Axel Madrid)
"  Escucha los auténticos y exquisitos sonidos de la música Qawali sin moverte de tu ciudad en esta sensacional gira mundial con artistas de primer nivel. Ustad Rahat Fateh Ali, superestrella pakistaní y sobrino del maestro del Qawali Ustad Nusrat Fateh Ali Khan, se subirá al escenario para ofrecerte una impresionante actuación, junto con otras destacadas estrellas que se anunciarán próximamente. Ustad Rahat es famoso por sus increíbles directos y su mensaje de amor, paz y espiritualidad, ya sea en bandas sonoras de películas de Bollywood de gran repercusión o como intérprete ante líderes mundiales, ¡y este concierto no será una excepción! ¡Consigue tus entradas para Just Qawali World Tour 2023 en Madrid!",128402,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/d3d4fc8a-d90c-11ed-ade8-dadbe49065a2.jpg",40.386749,-3.738601,Palacio de Vistalegre
"  El grupo humorístico-musical Les Luthiers se despide para siempre de los escenarios con ""Más tropiezos de Mastropiero"", un show que acaba de estrenar con gran éxito en Argentina y con el que realizará en junio su gira de despedida de España. El espectáculo gira en torno a una supuesta entrevista al mítico creador de las obras de Les Luthiers, Johann Sebastian Mastropiero. En el transcurso de esa entrevista se rememora, con ejemplos musicales y escénicos, buena parte de la vida del compositor, desde sus primeros fracasos hasta los más recientes. ¡Consigue tus entradas para Les Luthiers:  Más tropiezos de Mastropiero en el Gran Teatro CaixaBank Príncipe Pío, Madrid",119120,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/3bdc2934-91d7-11ed-a894-5e1e9bc690e6.jpg",40.420915,-3.7188,Gran Teatro CAIXABANK Príncipe Pío
"lelight   trae la magia de una experiencia musical en vivo a lugares increíbles en Madrid. ¡Consigue tus entradas para el Candlelight: Tributo a Ludovico Einaudi en el Four Seasons Hotel Madrid.   👉 Experiencia apta para su compra con el   Bono Cultural Joven   del Ministerio de Cultura y Deportes. Puedes consultar las preguntas frecuentes al respecto y sus respuestas  aquí    Información  📍 Lugar: Four Seasons Hotel Madrid 📅 Fecha y hora: 14 de mayo a las 17:00, 19:00 y 21:00 ⏳ Duración del concierto: 60 minutos aprox. (apertura de puertas 30 minutos antes, no se podrá acceder tras el inicio) 👤 Edad: a partir de 8 años. Los menores de 16 años deberán acudir acompañados por un adulto ♿ Accesibilidad: recinto habilitado para personas en silla de ruedas ❓ Puedes consultar las preguntas frecuentes y sus respuestas  aquí  🕯️ Si deseas reservar un concierto privado, haz clic  aquí  🎻 Consulta todos los  conciertos Candlelight  en Madrid _x000D_
  ⚡ ¡Desplázate hasta este concierto en BOLT!  Una forma cómoda, fácil y flexible de llegar a cualquier plan ahora con  un 50% de descuento  en tus primeros 5 viajes. Porque el viaje también forma parte de la experiencia. _x000D_
  Programa tentativo para Candlelight: Tributo a Ludovico Einaudi  _x000D_
 _x000D_
 Fairytale _x000D_
 I due fiumi _x000D_
 Monday _x000D_
 Stella del mattino _x000D_
 I giorni _x000D_
 In Un’Altra vita _x000D_
 Elegy for the Arctic _x000D_
 Primavera _x000D_
 Experience _x000D_
 Divenire _x000D_
 Tu sei _x000D_
 Berlin song _x000D_
 Una mattina _x000D_
 Nuvole Bianche _x000D_
 _x000D_
   Intérpretes  _x000D_
 _x000D_
 Piano - Esther Toledano _x000D_
 _x000D_
  _x000D_
  ",124096,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/de80f7cc-aeac-11ed-9e7a-fa4f1e7093b5.jpg",40.41794,-3.700603,Hotel Four Seasons
"elight  son los conciertos a la luz de las velas que traen la magia de una experiencia musical en vivo a lugares increíbles en Madrid. En esta ocasión, a un lugar tan especial como el Domo 360 de Moncloa, rodeados de proyecciones. ¡Consigue tus entradas para Candlelight: Tributo a Hans Zimmer en Domo 360!   👉 Experiencia apta para su compra con el   Bono Cultural Joven   del Ministerio de Cultura y Deportes. Puedes consultar las preguntas frecuentes al respecto y sus respuestas  aquí  _x000D_
  Información  📍 Lugar: Domo 360 de Moncloa, Madrid 📅 Fecha y hora: 22 de abril y 6 de mayo a las 17:00, las 19:00 y las 21:00 ⏳ Duración: 65 minutos aprox. (apertura de puertas 60 minutos antes, no se podrá acceder tras el inicio) 👤 Edad: a partir de 8 años. Los menores de 18 años deberán acudir acompañados por un adulto ♿ Accesibilidad: recinto habilitado para personas en silla de ruedas 🪑 Los asientos se asignan a la llegada según el tipo de ticket que hayas comprado ❓ Puedes consultar las preguntas frecuentes y sus respuestas  aquí  🎻 Consulta todos los  conciertos Candlelight  en Madrid 🕯️ Si deseas reservar un concierto privado, haz clic  aquí  ⚡️ Desplázate en taxi hasta esta experiencia con FREENOW y  un descuento exclusivo del 20%  que podrás disfrutar tanto a la ida como a la vuelta, una vez introduzcas tu destino en la app. Y si eres nuevo usuario, disfruta de un 50% de descuento utilizando el código CANDLE en tu primer viaje en taxi, coche compartido, bici, moto o patinete.*  * Promociones no acumulables.  _x000D_
  Programa Candlelight: Tributo a Hans Zimmer en Domo 360, Madrid  _x000D_
 _x000D_
 _x000D_
Piratas del Caribe  _x000D_
Origen  _x000D_
Rey Arturo  _x000D_
Código da Vinci  _x000D_
Rain Man  _x000D_
Sherlock Holmes  _x000D_
Gladiator  _x000D_
The holiday  _x000D_
Ángeles y Demonios  _x000D_
El rey León  _x000D_
Pearl Harbor  _x000D_
El último Samurái  _x000D_
Interstellar  _x000D_
Batman: el caballero oscuro_x000D_
 _x000D_
 _x000D_
   Intérpretes:  _x000D_
 _x000D_
 Cuarteto de cuerda - 22 de abril Cuarteto Matrice y 6 de mayo Cuarteto Caramuel _x000D_
 _x000D_
   Opiniones de los conciertos Candlelight  💬 Monique M. ⭐⭐⭐⭐⭐: ""Una experiencia fenomenal, increíble"""". 💬 Patricia C. ⭐⭐⭐⭐⭐: ""Un espectáculo precioso, vibrante, divertido y revitalizante. Se me ponían los pelos de punta. Lo estoy recomendando a todos los amigos que puedo porque es para verlo"". 💬 Joaquín G. ⭐⭐⭐⭐⭐: ""Precioso espectáculo, increíble en todos los aspectos"".  _x000D_
   _x000D_
  ",127579,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/fcc814b2-c8e3-11ed-877e-769356dee2f6.jpg",40.44122,-3.7281,Domo 360
"lelight  trae la magia de una experiencia musical en vivo a lugares increíbles en Madrid. ¡Consigue tus entradas para el Candlelight Premium: Tributo a Coldplay en el exclusivo Hotel Westin Palace de Madrid!  _x000D_
 👉 Experiencia apta para su compra con el   Bono Cultural Joven   del Ministerio de Cultura y Deportes. Puedes consultar las preguntas frecuentes al respecto y sus respuestas  aquí  _x000D_
  Información  📍 Lugar: Hotel Westin Palace de Madrid 📅 Fecha y hora: 30 de abril a las 21:00 ⏳ Duración: 60 minutos aprox. (apertura de puertas 45 minutos antes, no se podrá acceder tras el inicio) 👤 Edad: a partir de 8 años. Los menores de 16 años deberán acudir acompañados por un adulto 🪑 Los asientos se asignan a la llegada según el tipo de ticket que hayas comprado ♿ Accesibilidad: recinto habilitado para personas en silla de ruedas ❓ Puedes consultar las preguntas frecuentes y sus respuestas  aquí  🕯️ Si deseas reservar un concierto privado, haz clic  aquí  🎻 Consulta todos los  conciertos Candlelight  en Madrid _x000D_
 ⚡  ¡Desplázate hasta este concierto en BOLT!  Una forma cómoda, fácil y flexible de llegar a cualquier plan ahora con  un 50% de descuento  en tus primeros 5 viajes. Porque el viaje también forma parte de la experiencia. _x000D_
  Programa Candlelight: Tributo a Coldplay en el Hotel Westin Palace de Madrid  _x000D_
 _x000D_
 Trouble _x000D_
 In my Place _x000D_
 Fix you _x000D_
 Adventure of a lifetime _x000D_
 Speed of sound _x000D_
 Dont panic _x000D_
 Yellow _x000D_
 Clocks _x000D_
 The Scientist  _x000D_
 Viva la vida _x000D_
 _x000D_
  Intérprete  _x000D_
 _x000D_
 Piano- Jose Candel _x000D_
   _x000D_
   ",125706,"https://applications-media.feverup.com/image/upload/f_auto,w_720,h_720/fever2/plan/photo/8d9ede08-a7ce-11ed-b60a-a671927af73e.jpg",40.41565,-3.695546,Hotel Westin Palace
