categoria,nombre,direccion,url,precio,precio_2,rating
juegos-de-escape,Escape room urbano para grupos de 2 a 6 personas con dí...,"Calle Manzana, 15, Madrid",https://www.groupon.es/deals/parapark-madrid-2,39.99,,4.7
juegos-de-escape,Escape game para 4 a 6 personas en una sala a elegir en...,"Calle Puerto de Navecerrada, km 23, Madrid",https://www.groupon.es/deals/escapology-ilusiona-xanadu,59.95,,4.3
juegos-de-escape,"Escape room con actores ""La Maldición de los Balaguer""...","Boltaña, 40, Nave 1, Madrid",https://www.groupon.es/deals/ncerrados-escape-room-1,89.99,,4.2
juegos-de-escape,Juego de escape para hasta 5 personas en Enigmas Room,"Plaza Gabriel Miró, 3, Madrid",https://www.groupon.es/deals/enigmas-room-3,39.95,,4.6
juegos-de-escape,Escape room con 3 habitaciones a elegir para hasta 6 pe...,"C/ Lanzarote 20, San Sebastián de los Reyes, Madrid",https://www.groupon.es/deals/bucaneros-park,24.99,,
juegos-de-escape,"Partida de escape game, para grupos de 2 a 6 participan...","Calle Nuestra Señora del Carmen 7, Madrid",https://www.groupon.es/deals/enigma-madrid-1,49.95,,
juegos-de-escape,1 o 2 juegos de escape Room para hasta 6 o 7 participan...,"Calle Madre de Dios, 5, Alcalá de Henares",https://www.groupon.es/deals/bexcaper-alcala-1,69.99,,5
cursos-fotorgrafia,FOTORETIRO,"Fernan Gonzalez, 49, Madrid",https://www.groupon.es/deals/fotoretiro?deal_option=fe138047-d33c-3a66-11a0-5dea193ef475,24.9,,4.8
cursos-fotorgrafia,Fotografy,"Plaza Conde del Valle Suchil, 19, Madrid",https://www.groupon.es/deals/fotografy-6?deal_option=890839de-09b9-4ab8-a721-204dd230439e,24.9,,1.5
cursos-fotorgrafia,Fotografy,"Plaza Conde del Valle Suchil, 19, Madrid",https://www.groupon.es/deals/fotografy-5?deal_option=ef9c751c-e1c1-4258-aab1-3375d663e0c7,39,,1.5
cursos-fotorgrafia,FOTOGRAFY,"Plaza Conde del Valle Suchil, 19, Madrid",https://www.groupon.es/deals/fotografy-1?deal_option=69b353aa-ef84-423a-af47-a85470b79952,24.95,,1.5
cursos-fotorgrafia,Fotografy,Madrid,https://www.groupon.es/deals/fotografy-8?deal_option=d199eda5-8b1f-4ede-9df0-92713dd0fbf5,34.99,,1.5
cursos-fotorgrafia,Neural Fotografía,"40 Calle Laurel, Rivas-Vaciamadrid",https://www.groupon.es/deals/foto-erotica-madrid-3?deal_option=346b8808-bbd4-454c-9e2c-f047cf3f3be2,24.95,,
clases-baile,"Un mes de clases a elegir para una persona desde 12,95...","Calle Eduardo Marquina n.10, Madrid",https://www.groupon.es/deals/evil-eva-burlesque-school-3,12.95,,5
clases-baile,Bono de 8 clases de flamenco nivel iniciación 0 para 1...,"Calle Marqués de Cubas 25, Madrid",https://www.groupon.es/deals/centro-el-lucero-7,39.99,,4.4
clases-baile,Hasta 70% de descuento en Clase de baile - Salsa en Hak...,"3 Calle Balconcillo, Brunete",https://www.groupon.es/deals/hakuna-bachata-3,3,,
