nombre,subcategoria,descripcion,url,id,categoria
Escape room urbano para grupos de 2 a 6 personas con dí...,juegos de escape,opciones incluyen juego escape room urbano horas aproximadamente grupos dos seis personas juego juego aventura parapoly trata solo ver monumentos ciudad sino escuchar dicen deben buscar pistas investiga señales resuelve acertijo ello necesario par amigos móvil inteligente bolígrafo mapa juego partida dura par horas posible hacer descanso comer cenar incluso parar noche continuar día siguiente informacion juego http madrid parapark parapoly,https://www.groupon.es/deals/parapark-madrid-2,3783,Entretenimiento
Escape game para 4 a 6 personas en una sala a elegir en...,juegos de escape,incluye escape game salas participantes duración partida minutos salas disponibles antídoto budapest express pecados capitales narco ciudad perdida detalles juegos antídoto dificultad necesita derrotar dr brandt salvarte mismo mundo edad mínima recomendada años menores años deben ir siempre acompañados adulto dentro sala budapest express dificultad solucionad acertijos rompecabezas recopilad pruebas resolved crimen demasiado tarde tener encontrar asesino encuentre tiempo apremia edad mínima recomendada años menores años deben ir siempre acompañados adulto dentro sala pecados capitales dificultad podréis completar misión escaparos iglesia reloj dé medianoche maldición seguirá persiguiéndote nombre acabará grabado lápida panteón familiar edad mínima recomendada años menores años deben ir siempre acompañados adulto dentro sala narco dificultad secuestrados señor droga dos formas salir cuál elegirás edad mínima recomendada años menores años deben ir siempre acompañados adulto dentro sala ciudad perdida dificultad podréis recuperar diario encontrar tesoro escapar templo demasiado tarde tiempo apremia edad mínima recomendada años menores años deben ir siempre acompañados adulto dentro sala proceso canje seleccionar sala escape aquí elegir antídoto budapest express pecados capitales narco ciudad perdida pinchar reserva ahora seleccionar número personas día hora rellenar datos introducir código cupón apartado cupón descuento pinchar realizar pago reserva aparezca precio final reserva confirmada,https://www.groupon.es/deals/escapology-ilusiona-xanadu,3759,Entretenimiento
"Escape room con actores ""La Maldición de los Balaguer""...",juegos de escape,sala privada solo caso grupo personas habitación disponible maldición balaguer descripción atrévete entrar si logras salir cuéntanos ocurrió hace años terrible virus asoló campos comarca dejando muertos paso manera extraña balaguer familia clase media habitaba pequeña casa comarca perturbados ciegos miedo aislaron pudiera hacer daño pequeña hija aurora obsesión permitir paso nadie pudiera traer maldición casa volvió extrema llegaron afirmar peste embargo pueblerinos decían balaguer casa portal mundo muertos dado mucha gente simplemente desaparecía hoy hoy nadie atreve entrar dice dentro alimentan almas perdidas horarios pases lunes viernes escape room duración minutos restricciones edad,https://www.groupon.es/deals/ncerrados-escape-room-1,3780,Entretenimiento
Juego de escape para hasta 5 personas en Enigmas Room,juegos de escape,juego escape personas enigmas room,https://www.groupon.es/deals/enigmas-room-3,3758,Entretenimiento
Escape room con 3 habitaciones a elegir para hasta 6 pe...,juegos de escape,escape rooms elegir jungla ashe orishas duración minutos dificultad sinopsis descendiente africanos diego grillo practicaba secreto religión yoruba madre esclavizada ancestros mulato habanero protegen mitades mapa tesoro adentraros religión conseguir orishas confíen sed respetuosos sabiduría hará ganar tiempo si descubren engaño recaerá embrujo expulsaran bahía matanza siempre tesoro permanecerá oculto resto eternidad mansión gobernador duración minutos dificultad sinopsis ayuda tripulación diego grillo recuperar única parte mapa tesoro robada españoles ello buen bucanero deberás adentrarte aposentos privados gobernador cuba encontrar caja fuerte señor casa fiesta conseguido neutralizar guardia buen rato mezcla belladona cuidado tiempo cualquier momento puede despertar silencio misión requiere ser cuidadoso podemos llamar atención casas cercanas despertar guardia pues dará voz alarma jamás podremos recuperar mitad mapa barco fantasma duración minutos dificultad sinopsis constancia menos dos gobernadores isla cuba persiguieron temido pirata diego grillo décadas robo tesoro mérida piratas asegura capturado ahorcado españoles leyendas cuentan sufrió naufragio cerca cienfuegos habitantes juran escuchan lamentos mulato lucifer fatídico día parece ser barco yace fondo grutas isla tripulación lucifer honor conseguido dos mitades mapa guiará hacia tesoro escondido años atrás admirado capitán tras última expedición supo pesar numerosas búsquedas ningún corsario bucanero aventurero sido capaz encontrar barco audaces recuperar tesoro protegía diego grillo válido solo mayores años,https://www.groupon.es/deals/bucaneros-park,3746,Entretenimiento
"Partida de escape game, para grupos de 2 a 6 participan...",juegos de escape,incluye experiencia escape room juego grupos privados participantes personas duración juego hora restricciones edad años menores acompañados adulto sinopsis experiencia escape room virus pone papel agentes especiales deben infiltrarse base científica enemiga creado virus letal enemigo pretende utilizarlo población civil misión impedirlo escape room habitación tematizada encuentran diferentes objetos distribuidos dichos objetos forman parte serie acertijos juegos lógica resolver lograr objetivo resolver misión menos minutos entrar sencillo salir tiempo desafío,https://www.groupon.es/deals/enigma-madrid-1,3757,Entretenimiento
1 o 2 juegos de escape Room para hasta 6 o 7 participan...,juegos de escape,descripción juegos salas disponibles celda lupin psiquiátrico restricción edad mínimo años caso ser acompañado adultos poder jugar forma independiente control adulto edad mínima años duración media juego hora límite participantes según opción elegida opción juegos puede ser mismo grupo jugadores jugar dos salas seguidas dos grupos personas jugar dos salas simultáneamente celda lupin adentráte celda famoso ladrón francés lupin localiza valioso cuadro robado sal cárcel ser descubierto dificultad tema crimen cárcel sinopsis hace casi año famosísimo caballero ladrón realizó mejores trucos llevando cabo robo grande historia francia robo sustrajeron obras arte valor millones euros tras haber sido capturado bajo múltiples personalidades lupin actualmente encuentra cárcel máxima seguridad parís espera juicio tiempo mayoría obras sido recuperadas falta cuadro valioso flores según rumorea lupin consiguió llevárselo consigo cárcel nadie encontrara psiquiátrico entra dependencias dr vilches investiga extraños tratamientos descubre sucedido famosa reportera dificultad tema misterio tétrico sinopsis mientras realizaba programas basado psiquiátricos siguen abiertos día hoy españa reportera jefe programa famoso investigación desaparecido buscando país según comenta director cadena último día vieron redacción comentaba debía visitar famoso psiquiátrico cervantes psiquiátrico conocido curaciones milagrosas gracias extraños tratamientos doctor vilches policía tras visitar dependencias descartado primeras exista relación desaparición reportera psiquiátrico nuevas pistas evidencias investigación llegado callejón salida cadena televisión sigue pensando raro asunto,https://www.groupon.es/deals/bexcaper-alcala-1,3737,Entretenimiento
FOTORETIRO,cursos fotorgrafia,fotoretiro,https://www.groupon.es/deals/fotoretiro?deal_option=fe138047-d33c-3a66-11a0-5dea193ef475,3768,Entretenimiento
Fotografy,cursos fotorgrafia,duración curso horas temario curso fotografía control luz apertura obturación sensibilidad iso apps nativas iphone android control luz apps nativas apps terceros iphone android uso flash composición básica retoque fotográfico apps retoque iphone android instagram,https://www.groupon.es/deals/fotografy-6?deal_option=890839de-09b9-4ab8-a721-204dd230439e,3766,Entretenimiento
Fotografy,cursos fotorgrafia,elige tres opciones book fotográfico cd fotos retoques asesoramientos estilismo persona vez book fotográfico cd fotos retoques asesoramientos estilismo fotos impresas persona vez book fotográfico grupos cd fotos retoques asesoramientos estilismo fotos impresas vez detalles servicio todas opciones incluyen sesión fotográfica fotografías alta calidad entregadas formato digital cd si desea pendrive aportado cliente fotos retocadas profesionalmente entregadas formato digital asesoramientos estilismo peluquería maquillaje vestuario opciones incluyen fotografías impresas x cm elegidas todas sesión,https://www.groupon.es/deals/fotografy-5?deal_option=ef9c751c-e1c1-4258-aab1-3375d663e0c7,3765,Entretenimiento
